Transaction Type,Transaction Amount,Sender Balance Before,Sender Balance After,Recipient Balance Before,Recipient Balance After,Fraud/Not
Chip,5137,48221,43084,25269,30406,No
Chip,6369,48123,41755,975,7343,Yes
Chip,9840,35303,25462,63775,73615,No
Swipe,6439,37931,31492,56121,62559,Yes
Chip,7850,66707,58857,4897,12746,Yes
Chip,5005,71945,66940,13693,18698,No
Swipe,2836,15661,12825,20117,22953,Yes
Online,4957,31374,26418,16589,21545,No
Swipe,9769,68047,58278,60039,69808,No
Swipe,2058,86473,84415,84766,86824,Yes
Swipe,7379,40750,33370,78519,85898,No
Chip,3175,96133,92958,55661,58836,Yes
Online,446,7367,6921,43361,43807,Yes
Swipe,5940,50052,44111,37814,43754,Yes
Chip,6230,33968,27738,67742,73972,No
Online,9265,53813,44548,40154,49420,No
Swipe,610,25490,24880,29367,29977,No
Online,3073,49453,46380,26520,29593,Yes
Online,8742,86480,77738,9307,18049,No
Online,3864,16728,12864,34295,38159,No
Chip,5050,84363,79313,12370,17421,Yes
Chip,1990,87579,85589,47629,49619,Yes
Swipe,8869,62101,53232,15616,24486,Yes
Swipe,520,98438,97918,86273,86793,Yes
Swipe,4402,39740,35337,68161,72563,Yes
Online,4720,49441,44721,30466,35186,No
Online,9963,36231,26268,83655,93618,No
Swipe,609,99169,98560,14722,15331,No
Chip,3705,83413,79709,83506,87211,No
Online,2114,75013,72900,58280,60393,No
Online,577,51999,51422,2487,3065,Yes
Online,8336,55973,47637,24035,32371,No
Swipe,892,69230,68338,37092,37985,No
Online,4606,96036,91430,68598,73204,No
Chip,7619,84815,77196,10662,18280,Yes
Online,4337,19056,14718,58748,63085,No
Chip,925,58307,57382,86303,87228,Yes
Online,3119,3252,133,62543,65662,Yes
Swipe,2457,51073,48615,77182,79640,Yes
Swipe,2066,94112,92046,65893,67959,Yes
Chip,4301,31382,27081,6009,10310,No
Chip,4879,59579,54700,79761,84640,No
Chip,6779,60549,53770,2870,9649,No
Swipe,994,74730,73736,45452,46447,No
Online,4902,22436,17534,31192,36094,Yes
Online,2716,14532,11815,72650,75366,No
Swipe,6936,25198,18263,386,7322,No
Online,5604,19972,14368,81126,86730,Yes
Chip,1377,83090,81714,77256,78632,No
Chip,6105,42750,36645,64738,70843,No
Online,4704,68025,63320,51822,56526,No
Swipe,9966,34917,24951,69023,78989,Yes
Swipe,3966,97334,93368,82068,86034,No
Chip,8738,39931,31194,50318,59056,Yes
Swipe,9470,67418,57948,52220,61690,No
Swipe,6405,86161,79756,40015,46420,No
Online,3207,71611,68405,85204,88411,Yes
Swipe,1984,96189,94205,8146,10130,No
Online,5254,84520,79266,88418,93673,No
Online,6886,96444,89557,15340,22226,Yes
Online,5395,16664,11269,60085,65480,Yes
Online,5143,31505,26363,89436,94579,No
Chip,6726,89957,83231,29217,35944,Yes
Swipe,5061,53070,48010,55917,60978,No
Swipe,4172,40572,36400,3199,7371,No
Swipe,3472,43074,39602,32237,35709,No
Swipe,7648,96793,89145,46020,53669,Yes
Chip,3884,47840,43956,40912,44796,No
Chip,6321,77596,71275,39832,46153,Yes
Online,7112,32910,25798,94085,101197,Yes
Chip,1036,42443,41407,83990,85026,Yes
Chip,7355,83893,76537,16481,23836,Yes
Chip,7255,83095,75840,58918,66173,Yes
Chip,8612,21996,13384,20675,29287,No
Online,2489,96428,93938,42648,45137,Yes
Chip,3143,55413,52269,12291,15434,Yes
Chip,1799,75459,73659,3761,5560,Yes
Online,3318,21623,18306,80242,83560,No
Chip,7914,46268,38354,43182,51096,No
Swipe,245,50120,49875,99268,99513,Yes
Swipe,7465,36531,29066,45218,52683,No
Online,943,28080,27137,38095,39039,No
Swipe,2855,59009,56154,7282,10136,Yes
Online,6893,67617,60723,46430,53323,No
Chip,8324,19090,10766,59013,67337,No
Chip,1328,53412,52084,60762,62090,No
Online,7204,71726,64522,98061,105265,No
Chip,9347,57257,47910,81301,90648,Yes
Swipe,1033,22361,21327,52179,53213,Yes
Chip,892,13001,12108,25796,26688,Yes
Chip,6450,32234,25783,60258,66708,Yes
Online,4670,93171,88501,3550,8220,Yes
Chip,2347,93096,90748,84114,86462,No
Chip,4451,74446,69996,14008,18459,No
Online,6295,10740,4446,45749,52044,No
Swipe,2448,38309,35861,34356,36804,Yes
Swipe,4320,6974,2655,26020,30340,Yes
Swipe,6253,25714,19461,77587,83840,No
Chip,969,16844,15875,49099,50068,No
Swipe,5962,32610,26648,74177,80139,No
Swipe,8094,74664,66570,48720,56813,No
Swipe,1729,37741,36012,83963,85692,Yes
Chip,772,73749,72977,68831,69603,Yes
Online,877,36514,35637,1753,2631,No
Online,5161,79138,73977,90292,95453,No
Swipe,5824,59336,53511,94369,100193,Yes
Chip,620,82877,82257,50977,51597,No
Swipe,926,76093,75167,44357,45283,Yes
Swipe,7886,64420,56534,95115,103001,No
Online,5151,22420,17269,50863,56014,No
Chip,7905,86269,78365,47647,55552,Yes
Chip,2281,55961,53680,99932,102213,Yes
Chip,3017,6261,3244,79247,82264,No
Swipe,8738,47681,38942,63966,72705,No
Online,2647,46025,43378,16454,19101,No
Swipe,6523,56700,50177,30156,36679,Yes
Swipe,2733,22282,19549,78489,81222,Yes
Chip,2279,10283,8005,17831,20110,Yes
Swipe,9364,49744,40380,75802,85165,No
Online,4869,23676,18807,12719,17588,No
Chip,922,42333,41411,72581,73504,Yes
Swipe,9599,25899,16300,4511,14110,Yes
Online,2494,64379,61886,6365,8858,Yes
Swipe,5246,70865,65619,14494,19740,No
Online,8825,73525,64700,87243,96068,Yes
Online,6491,64313,57822,83642,90133,No
Chip,3611,96555,92943,40723,44335,No
Chip,6912,49784,42872,8699,15611,No
Online,8904,15391,6487,14505,23409,Yes
Chip,5326,21171,15846,18640,23966,Yes
Chip,7049,68465,61416,31518,38567,No
Online,3663,83643,79980,51418,55081,No
Online,6212,60863,54651,46067,52279,Yes
Chip,5423,93867,88444,65273,70696,Yes
Chip,9933,97679,87746,1056,10989,Yes
Online,7496,97024,89527,64161,71657,Yes
Chip,939,11215,10276,80973,81912,No
Online,6785,99360,92575,40311,47096,Yes
Chip,8794,79839,71045,18245,27040,No
Chip,8195,82918,74723,95744,103940,Yes
Chip,1678,78241,76562,60499,62178,No
Swipe,4467,48639,44172,76428,80895,Yes
Swipe,5485,79139,73654,22940,28425,Yes
Online,6783,63936,57154,20322,27105,Yes
Chip,7139,80742,73603,24189,31329,Yes
Chip,2796,8854,6058,73052,75848,No
Online,6356,81925,75569,80506,86862,No
Online,2366,89041,86675,2218,4584,Yes
Swipe,495,25264,24770,55728,56223,No
Chip,7999,78995,70996,85745,93744,Yes
Online,797,11511,10714,30306,31102,No
Online,6282,80745,74463,50106,56387,Yes
Chip,6365,98282,91917,59680,66045,No
Swipe,8449,40010,31561,3583,12032,No
Chip,5001,62928,57927,95518,100518,Yes
Chip,5380,7897,2517,51292,56672,No
Chip,9092,58072,48979,55675,64767,Yes
Chip,5950,42479,36530,484,6434,Yes
Online,4621,16212,11591,37374,41995,No
Online,701,32549,31848,92880,93581,Yes
Online,3763,8599,4836,39376,43139,No
Chip,3559,34492,30933,56427,59986,Yes
Chip,8880,71475,62594,91449,100329,No
Online,5753,35567,29814,50440,56193,Yes
Chip,6539,15769,9230,22998,29537,Yes
Online,2326,27223,24897,87723,90049,Yes
Online,5292,28007,22715,81802,87094,No
Online,6418,36805,30387,50760,57178,Yes
Swipe,4302,73644,69342,14531,18833,Yes
Swipe,3509,31284,27774,9948,13457,Yes
Chip,4080,38294,34215,91069,95148,Yes
Chip,4817,84373,79556,2233,7050,No
Online,1426,77304,75878,25472,26898,Yes
Chip,8801,30331,21530,97225,106026,Yes
Online,9446,88654,79209,96165,105611,Yes
Swipe,8575,30293,21718,82784,91359,Yes
Online,9655,79575,69920,4631,14286,Yes
Online,7879,56821,48942,80421,88300,Yes
Swipe,2074,85105,83031,53088,55162,Yes
Chip,269,12944,12675,1606,1876,No
Swipe,5943,35098,29155,21586,27528,No
Swipe,2837,15692,12856,31718,34555,No
Swipe,5623,26917,21294,51000,56623,No
Chip,8729,93257,84528,8079,16807,No
Swipe,9773,86574,76801,4633,14406,Yes
Swipe,7245,31534,24290,23075,30320,No
Swipe,9517,82734,73217,21081,30598,No
Online,8624,84466,75842,61781,70406,Yes
Chip,9722,39652,29930,35795,45518,Yes
Chip,4557,93387,88830,64789,69346,Yes
Swipe,1429,56487,55058,54977,56406,Yes
Chip,5048,76971,71922,29857,34905,Yes
Chip,1467,11555,10088,69339,70806,No
Swipe,6910,17263,10353,29780,36690,Yes
Chip,2410,96858,94448,8739,11149,No
Swipe,5605,22113,16508,49575,55180,No
Online,954,71902,70948,79625,80580,No
Online,894,18930,18036,26056,26950,Yes
Swipe,2526,25743,23217,8316,10842,Yes
Chip,9968,27752,17784,87325,97292,Yes
Chip,5164,52825,47661,69376,74540,No
Swipe,3982,66260,62278,36208,40189,No
Online,9885,49895,40010,17268,27153,No
Chip,2823,45012,42189,17072,19895,No
Chip,3887,95481,91594,28801,32689,Yes
Online,8841,14493,5652,94186,103027,Yes
Chip,4913,33051,28138,69616,74529,No
Swipe,6127,81575,75448,86735,92862,Yes
Online,7661,23383,15722,78490,86152,Yes
Online,7966,16748,8781,90264,98231,No
Chip,8876,83410,74534,59367,68243,Yes
Online,4985,87809,82825,9468,14453,No
Chip,4796,43914,39118,74005,78801,No
Online,8681,13314,4633,69640,78321,No
Online,1831,67128,65297,82002,83833,Yes
Swipe,4309,21774,17464,68307,72616,Yes
Swipe,9954,35234,25280,57943,67897,Yes
Online,3967,73390,69423,55457,59424,No
Online,3887,54668,50781,79774,83661,Yes
Online,844,78301,77457,57305,58149,No
Swipe,3480,16603,13122,72430,75911,No
Swipe,6719,68061,61342,60565,67284,Yes
Swipe,4591,24422,19831,10306,14897,Yes
Chip,2673,53517,50844,82336,85009,No
Swipe,2200,80218,78018,4032,6232,No
Online,9621,24466,14845,28462,38084,Yes
Chip,8604,35739,27136,41146,49750,No
Online,8526,29946,21420,54598,63124,No
Chip,8937,22902,13965,23298,32234,Yes
Chip,8251,43079,34829,29160,37410,Yes
Chip,406,1364,958,29083,29489,Yes
Online,2390,11930,9540,20527,22917,No
Chip,1185,72095,70909,25768,26953,No
Swipe,4456,14228,9772,52484,56941,No
Swipe,7340,37217,29878,52594,59934,No
Online,2837,46787,43950,59189,62027,No
Swipe,2046,38042,35996,30506,32552,No
Swipe,8617,51294,42677,77785,86402,No
Chip,5402,60178,54775,38985,44388,No
Online,8711,46567,37856,84552,93263,Yes
Online,9655,49377,39722,47861,57516,Yes
Swipe,1290,88553,87263,74972,76262,No
Swipe,6605,20074,13470,76123,82728,No
Swipe,7812,26492,18679,48647,56459,No
Chip,776,32041,31266,29036,29812,Yes
Chip,9107,14997,5890,97931,107038,No
Online,4761,80731,75970,68589,73349,Yes
Chip,2736,48099,45364,78414,81150,Yes
Online,3105,48742,45637,8180,11284,No
Swipe,6786,96401,89615,97401,104188,No
Swipe,5936,59917,53981,78534,84470,Yes
Chip,8542,49699,41157,57468,66010,Yes
Swipe,2817,84229,81412,49745,52562,Yes
Swipe,5342,46456,41114,61865,67207,Yes
Chip,3148,41141,37993,70031,73179,Yes
Swipe,1506,52079,50573,70426,71932,No
Chip,9903,10309,406,85704,95607,Yes
Chip,4996,95568,90573,29472,34467,No
Chip,1659,90948,89289,25781,27440,Yes
Online,9016,63127,54112,15819,24835,Yes
Chip,9459,54384,44926,37260,46719,No
Online,9202,12863,3661,93748,102950,Yes
Swipe,7637,9750,2113,29987,37624,Yes
Swipe,7393,17540,10148,50135,57528,No
Online,4802,11079,6277,695,5497,Yes
Chip,4465,60225,55760,33704,38169,No
Swipe,8382,28914,20532,42868,51250,Yes
Online,2884,78330,75446,49815,52699,No
Swipe,8644,99551,90907,81157,89801,Yes
Chip,1780,91436,89656,1709,3489,No
Chip,921,97350,96429,47132,48054,Yes
Chip,2434,70175,67741,70962,73396,No
Chip,1412,24675,23263,45608,47020,No
Swipe,1391,48394,47003,94048,95440,No
Swipe,1760,20055,18295,79902,81662,Yes
Chip,9695,61246,51551,42572,52267,Yes
Chip,3761,61457,57696,47952,51713,No
Online,1477,92157,90680,1673,3150,No
Swipe,3232,64611,61379,57945,61177,No
Online,6393,50584,44190,50692,57085,No
Chip,7121,90932,83811,49257,56377,No
Online,2460,82110,79650,78153,80614,No
Online,718,99998,99280,12056,12774,Yes
Online,6945,63277,56332,81906,88852,Yes
Swipe,4952,55843,50891,62614,67566,No
Chip,2107,45948,43842,13444,15551,Yes
Online,2319,79079,76759,13312,15631,Yes
Chip,5008,82113,77105,18562,23569,No
Swipe,6655,28076,21420,66758,73413,No
Chip,8842,55270,46428,31492,40334,No
Swipe,7355,65956,58601,23504,30859,No
Chip,2789,34021,31232,23719,26509,No
Chip,1426,46286,44861,79997,81423,No
Online,9947,22410,12463,97324,107271,Yes
Online,5696,24248,18553,40294,45989,No
Swipe,340,68982,68642,52227,52567,Yes
Online,8358,28883,20525,10218,18576,No
Swipe,9592,76791,67199,14946,24539,Yes
Swipe,2513,89516,87003,96357,98870,Yes
Swipe,3298,79544,76247,84004,87302,Yes
Chip,7392,20024,12632,69187,76579,No
Chip,1398,18953,17555,9299,10697,Yes
Online,8220,44108,35887,14823,23043,No
Online,6660,84049,77390,41695,48355,Yes
Online,8355,69993,61638,86297,94652,Yes
Swipe,7269,22627,15358,67737,75007,No
Chip,5008,14899,9891,62149,67157,No
Chip,6128,29717,23589,93662,99791,Yes
Online,2684,68229,65545,90487,93171,No
Swipe,3399,25314,21915,65391,68790,Yes
Chip,4673,61121,56448,41747,46420,Yes
Chip,4958,78599,73641,34818,39776,Yes
Online,5433,77571,72138,98784,104217,No
Swipe,3234,79702,76468,32807,36041,Yes
Online,8425,86665,78240,71812,80237,Yes
Chip,6850,24902,18053,33249,40099,Yes
Chip,9968,18381,8413,71788,81755,No
Online,3868,24581,20713,57590,61458,No
Chip,6276,71079,64802,71677,77953,No
Online,8689,85427,76738,8644,17333,Yes
Online,8640,41532,32892,85958,94598,No
Swipe,9273,26092,16819,80181,89454,Yes
Chip,3033,22455,19423,58840,61873,No
Chip,5490,58508,53018,49347,54837,No
Chip,3915,4015,101,66630,70544,Yes
Chip,4276,81628,77352,45108,49383,Yes
Chip,6977,47850,40872,75301,82279,Yes
Chip,635,66756,66120,78116,78752,Yes
Chip,4544,55587,51042,30798,35342,Yes
Online,2847,23455,20608,28376,31223,Yes
Chip,958,76213,75254,85949,86908,No
Online,8025,10221,2196,6454,14479,Yes
Chip,8231,67882,59651,92324,100555,Yes
Online,4273,23505,19232,93682,97955,No
Swipe,7879,29297,21418,73542,81421,No
Chip,4606,37102,32496,49683,54289,No
Swipe,9604,26979,17375,97477,107081,Yes
Online,61,96201,96140,57512,57573,No
Online,4802,41340,36538,91999,96801,No
Online,2832,13154,10322,55216,58048,Yes
Swipe,6269,25565,19296,40976,47245,Yes
Chip,7872,49288,41416,68964,76835,No
Chip,8098,44997,36899,13480,21578,Yes
Chip,2180,86904,84724,94300,96480,Yes
Swipe,4370,11361,6992,16329,20699,No
Chip,8897,76507,67609,65305,74202,No
Online,742,53219,52477,33375,34118,Yes
Swipe,5996,99855,93860,68020,74015,Yes
Swipe,7240,84526,77286,54974,62214,Yes
Chip,2216,89779,87564,50867,53083,No
Online,7704,20732,13028,7611,15315,No
Swipe,3362,49716,46353,88477,91840,Yes
Swipe,8091,54215,46124,41595,49686,Yes
Chip,7844,18591,10747,67511,75355,No
Chip,1776,8369,6593,42208,43984,Yes
Swipe,7332,23593,16261,72678,80009,No
Online,3892,20388,16496,95026,98918,No
Online,7219,92330,85111,55417,62636,No
Swipe,9854,63346,53492,53171,63025,Yes
Chip,978,18574,17596,6685,7663,No
Online,8532,51641,43109,93885,102416,Yes
Swipe,916,62209,61293,5116,6031,No
Chip,1412,6564,5153,69194,70605,Yes
Online,8103,58819,50716,30361,38464,No
Online,3124,27208,24084,64413,67537,No
Online,9037,18168,9132,97658,106694,Yes
Online,9398,51214,41816,74789,84187,Yes
Chip,6971,97694,90723,32340,39311,Yes
Online,1060,27560,26500,66087,67148,No
Swipe,275,35001,34726,78868,79143,Yes
Chip,8142,29324,21182,69391,77533,No
Online,7146,30900,23754,49193,56340,No
Online,2402,26021,23619,26712,29114,Yes
Swipe,9769,70737,60968,63571,73340,Yes
Swipe,6445,79377,72932,17961,24406,Yes
Online,6868,66242,59373,17319,24187,No
Chip,1356,4765,3408,31881,33237,No
Chip,9333,38770,29436,30056,39390,No
Swipe,8451,34618,26167,70964,79415,No
Online,976,70160,69184,69194,70169,Yes
Online,8230,25547,17317,43410,51640,Yes
Online,6028,97267,91239,54666,60694,No
Swipe,6381,82252,75871,61439,67820,Yes
Swipe,4054,69803,65748,92335,96389,No
Swipe,5983,16779,10796,50416,56399,No
Chip,9212,43403,34191,2078,11290,Yes
Swipe,951,89442,88491,97097,98049,No
Swipe,8610,91829,83219,91384,99994,No
Swipe,2564,96586,94022,95266,97830,Yes
Swipe,7887,71252,63365,83723,91610,Yes
Chip,5278,60697,55419,55745,61023,No
Online,8048,52139,44091,77227,85275,No
Online,5608,40413,34805,36136,41744,No
Swipe,9371,98037,88666,81930,91301,No
Online,4109,84824,80714,98303,102412,No
Swipe,8705,96869,88164,93062,101768,Yes
Chip,7325,73990,66666,9704,17029,No
Swipe,9145,20136,10991,25178,34323,Yes
Swipe,9476,93455,83979,23853,33329,No
Swipe,8786,18747,9961,33397,42183,No
Chip,7001,20262,13261,75185,82186,Yes
Chip,3715,35541,31826,20882,24597,No
Swipe,3527,25005,21478,80853,84380,No
Swipe,4807,12626,7819,37559,42366,No
Online,2347,30527,28180,1362,3710,Yes
Chip,576,80814,80238,2120,2696,No
Online,3147,13394,10247,65349,68496,Yes
Chip,4024,15594,11570,20861,24885,No
Online,8879,52138,43259,16061,24940,No
Swipe,1821,90308,88487,35069,36890,Yes
Chip,5678,36863,31186,32204,37882,Yes
Swipe,8138,13203,5065,23661,31798,Yes
Chip,6056,7067,1011,46332,52389,No
Swipe,9945,48334,38388,59321,69267,No
Chip,3457,95681,92224,51075,54532,No
Chip,3363,30339,26976,98999,102361,No
Chip,6159,62999,56840,10038,16197,Yes
Online,26,21951,21926,95967,95992,No
Swipe,3706,66221,62516,83755,87460,No
Online,4974,74812,69838,80840,85815,No
Swipe,3638,72554,68916,58456,62093,No
Chip,2140,95849,93709,7716,9856,No
Chip,6429,10168,3739,77684,84113,No
Swipe,1605,62390,60785,52860,54465,Yes
Chip,7691,73847,66157,43749,51440,No
Chip,6862,51039,44177,17670,24532,No
Chip,5435,90745,85310,24817,30252,Yes
Swipe,8180,66775,58596,48610,56789,No
Swipe,5651,82303,76652,60211,65862,No
Chip,3511,90936,87425,69176,72687,Yes
Chip,3169,5463,2294,88988,92157,Yes
Chip,5939,26208,20270,42127,48066,No
Swipe,2770,15340,12569,9998,12769,No
Chip,9793,65669,55876,1601,11393,No
Online,5254,55786,50532,52095,57350,Yes
Chip,6368,10218,3850,73583,79951,No
Swipe,4459,35800,31340,17447,21906,No
Swipe,2099,53251,51151,71116,73215,No
Swipe,1499,29685,28186,71938,73436,No
Online,9587,19527,9940,70158,79745,No
Online,2526,60954,58427,62988,65514,No
Chip,4485,37837,33352,6380,10865,Yes
Swipe,7175,14678,7503,30739,37914,Yes
Swipe,3771,30448,26677,53919,57691,Yes
Online,2224,34043,31818,50701,52925,Yes
Swipe,632,4347,3715,72184,72816,No
Swipe,6396,45283,38887,97677,104073,No
Online,8861,31644,22783,67916,76776,Yes
Online,6848,47180,40332,32155,39003,Yes
Online,6913,85990,79077,74238,81151,No
Swipe,1071,33364,32292,47211,48282,Yes
Online,6445,32329,25884,53460,59905,No
Online,6425,9600,3175,70336,76761,No
Chip,8184,75764,67580,25895,34079,Yes
Chip,8291,38858,30567,35310,43601,No
Swipe,3844,50842,46999,39554,43397,Yes
Online,9328,25084,15757,53396,62724,Yes
Chip,6608,35413,28804,13083,19691,Yes
Online,7475,83588,76113,45178,52653,No
Chip,5614,52246,46631,84180,89794,Yes
Swipe,7654,92318,84663,18209,25863,Yes
Chip,4676,69186,64510,73656,78332,No
Online,3367,70731,67365,65726,69093,No
Online,2286,76813,74527,18132,20418,No
Swipe,8511,58001,49490,42179,50690,No
Swipe,3965,87522,83557,29148,33113,Yes
Chip,7658,11886,4228,55603,63260,No
Swipe,2384,89611,87227,20262,22646,Yes
Swipe,9363,27356,17993,56276,65638,No
Swipe,6295,56999,50704,74296,80591,No
Chip,2735,7143,4408,51667,54402,No
Chip,7344,93376,86032,29237,36581,No
Online,8856,38856,30000,22219,31074,No
Online,8472,31810,23338,90186,98658,No
Online,9271,15987,6715,46946,56217,No
Swipe,1478,80877,79399,46270,47748,Yes
Online,1498,77509,76011,37706,39204,Yes
Swipe,6415,13480,7065,65990,72405,Yes
Swipe,4745,79580,74836,24712,29457,Yes
Swipe,3537,29870,26334,81598,85134,Yes
Online,868,26133,25265,81141,82010,No
Online,8733,17526,8792,11256,19989,No
Online,1307,41339,40032,9927,11233,Yes
Swipe,7226,96040,88814,77596,84822,Yes
Chip,2714,37796,35082,2649,5363,Yes
Chip,6365,21831,15466,79324,85688,Yes
Online,4942,88255,83313,40724,45666,Yes
Swipe,916,3448,2532,95744,96659,No
Chip,2965,76560,73595,67040,70004,No
Online,864,46928,46063,85176,86040,Yes
Online,3256,68367,65111,9404,12660,No
Chip,573,78181,77608,54274,54847,Yes
Online,6748,15754,9006,88923,95671,No
Chip,7071,18260,11188,15697,22768,No
Swipe,4429,69588,65159,22707,27136,Yes
Swipe,339,61706,61367,90157,90495,Yes
Chip,3213,69793,66580,19187,22400,No
Swipe,5329,37008,31678,44813,50142,Yes
Chip,8997,14455,5458,48967,57964,No
Chip,8087,63498,55410,57117,65205,Yes
Chip,7205,83348,76143,14119,21324,Yes
Online,9299,63958,54659,2772,12071,No
Online,4061,37065,33004,41414,45475,Yes
Chip,1966,50054,48087,69738,71705,Yes
Online,4272,16523,12251,27065,31337,Yes
Chip,1817,70986,69169,99609,101426,Yes
Chip,5212,65562,60350,47587,52799,No
Swipe,8758,52695,43937,19701,28459,Yes
Swipe,8846,20132,11286,94543,103389,Yes
Online,3191,22999,19808,70788,73979,Yes
Online,6254,34411,28157,64884,71138,No
Online,781,40747,39966,4250,5030,Yes
Online,954,21414,20460,31688,32643,Yes
